,Vocabulary,Meaning,Reading,Mnemonic,Level,URL
12,九,NINE,"When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. Numbers are the exception, as you might already know. When they're alone with no okurigana they're the on'yomi reading, which you should already know from learning the kanji that makes up this word.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it often has the same meaning as the kanji it's based off of. Same goes for the word 九, as well. It has the same meaning as its kanji counterpart.",1,https://www.wanikani.com/vocabulary/%E4%B9%9D
13,九つ,NINE THINGS,"Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion).
What thing do you have nine of? The nine things that you have are nine coconuts (ここの). Imagine yourself juggling nine coconuts in the air. Try counting them while you're doing this, arriving at nine things.","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for nine plus つ. So, this one is nine things.",1,https://www.wanikani.com/vocabulary/%E4%B9%9D%E3%81%A4
14,一,ONE,"When a vocab word is all alone and has no okurigana (hiragana attached to kanji) connected to it, it usually uses the kun'yomi reading. Numbers are an exception, however. When a number is all alone, with no kanji or okurigana, it is going to be the on'yomi reading, which you learned with the kanji. Just remember this exception for alone numbers and you'll be able to read future number-related vocab to come.","As is the case with most vocab words that consist of a single kanji, this vocab word has the same meaning as the kanji it parallels, which is one.",1,https://www.wanikani.com/vocabulary/%E4%B8%80
15,一つ,ONE THING,"Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion).
So, you have one thing. What one thing do you have? You have one of He-Man's Toes, aka a single He-Toe (ひと). So what's the thing you have only one of? You have one He-Toe. Imagine He-Man walking around with one missing toe, trying to find you so he can get it back. At least you'll be able to run faster than him now.","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for one plus つ. So, this one is one thing.",1,https://www.wanikani.com/vocabulary/%E4%B8%80%E3%81%A4
16,人,PERSON,"When a vocab is a single kanji with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. Since you don't know the kun'yomi reading for this kanji yet, let's use a mnemonic to learn it.
What does a person hate more than anything? They hate extreme heat (ひと). You can always put on more clothes to stay warm, but when the heat gets too high, you can only take off so much.","When a vocab is a single kanji all alone, it usually has the same meaning as its kanji parent. That goes for this vocab word as well. Person is person.",1,https://www.wanikani.com/vocabulary/%E4%BA%BA
17,下さい,PLEASE GIVE ME,"The reading for this word is an exceptional reading. You just have to be able to recall the くだ part, though (since さい is already there in the form of the hiragana). So, think about why you have to be polite to this misbehaving kid. Turns out, if you don't, he has the power to initiate a Coup d'état against you and your family, who runs the government. Just imagine yourself thinking over and over ""Okay... I have to be nice to this kid. If I don't... he'll initiate a Coup d'état... and that would ruin my family..."" You're walking on thin ice, here.","You know that the kanji 下 means down and that さい sounds like the word ""sigh."" You need to ask someone for something, so you look down, sigh, and say please give me that thing. You're ashamed that you have to ask. But you still need it. Please, please give it to me!
We only use this kanji version of ください when we're asking for something, that's why it's ""please give me."" If you're just saying ""please"" you don't need the kanji at all!",1,https://www.wanikani.com/vocabulary/%E4%B8%8B%E3%81%95%E3%81%84
18,人口,POPULATION,"This is a jukugo word, which usually means on'yomi readings from the kanji. Since 人 has two on'yomi readings, here's a mnemonic to help you remember which one to use:
Here at Tofugu, we measure population in jeans (じん). Each of us has just one pair of jeans, so if you know the jean count you know the population.",The amount of people with mouths (that you have to feed) is the population that you have to feed.,1,https://www.wanikani.com/vocabulary/%E4%BA%BA%E5%8F%A3
19,力,POWER,"When a vocab word is a single kanji all alone with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. You didn't learn the kun'yomi reading with the kanji, so for this vocab word, we'll use a mnemonic.
The most powerful man in the world. All his power came from his cheek (ちから). Imagine him blowing up his cheek like a giant balloon, then unleashing his power on you. Thwap thwap thwap thwap.","When a vocab word is made up of a single kanji and that's it, it almost always takes the meaning from its parent kanji. So, this vocab word also means power.",1,https://www.wanikani.com/vocabulary/%E5%8A%9B
20,川,RIVER,You're in luck - the reading you learned with the kanji is the same as the one you have to learn for this vocab!,"When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it will usually take the same meaning as the kanji it comes from. So, from that you know that this word means river.",1,https://www.wanikani.com/vocabulary/%E5%B7%9D
21,七,SEVEN,"Most single-kanji all-alone vocab words like this use the kun'yomi reading. Numbers are an exception to this rule. That being said, four and seven are exceptions to this exception to the rule (because the on'yomi readings sound too much like the word for ""death""). You should learn both readings for this word, though we're going to go with なな for the main one here. You can remember that because you had seven nanas after you.","When a vocab is alone with no okurigana (that's hiragana attached to a kanji) it usually has the same meaning as the kanji too. That goes for this word as well. So, if you know the kanji's meaning (seven) you'll know the vocab's meaning (seven).",1,https://www.wanikani.com/vocabulary/%E4%B8%83
22,七つ,SEVEN THINGS,"Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion).
What thing do you have seven of? The seven things that you have are seven Nanas (なな). These are your grandmas, cloned. Just think, ""It's lucky to have seven nanas. They can all cook my favorite foods for me!""","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for seven plus つ. So, this one is seven things.",1,https://www.wanikani.com/vocabulary/%E4%B8%83%E3%81%A4
23,大きさ,SIZE,"When a vocab has okurigana (hiragana attached to the kanji) it is probably going to be the kun'yomi reading. Since you learned the on'yomi reading with the kanji 大, we'll have to use a mnemonic to remember this word.
When you saw the size of (pick something surprising), you said ""おお *#$@!"" Really imagine something surprising. Say the おお part out loud, as well. Think about the size of whatever you're looking at, too, and how big it is.","In Japanese, さ on the end of a word is often the equivalent of ""-ness"" in English. In other words, if you replace the い on the end of an い-adjective with さ, you have a noun. In this case, the adjective is 大きい (big) and the noun 大きさ means ""bigness"", aka size.",1,https://www.wanikani.com/vocabulary/%E5%A4%A7%E3%81%8D%E3%81%95
24,十,TEN,"When a vocab is alone and consists of a single kanji like this, usually it uses the kun'yomi reading for the kanji. But, numbers are an exception and they use the on'yomi reading (which you learned when you learned the kanji). That means you know that this word's reading is じゅう already.",When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it tends to steal its meaning from the kanji it came from. That means this vocab word also means ten.,1,https://www.wanikani.com/vocabulary/%E5%8D%81
25,三,THREE,"When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it usually uses its kun'yomi reading. Numbers are an exception, though, and use the on'yomi reading. You learned the on'yomi reading when you learned this kanji, so you already know that the reading for this vocab is さん.","When a vocab is a single kanji and alone like this, it usually steals its meaning from the parent kanji. That goes for this word too, making the meaning of this word three.",1,https://www.wanikani.com/vocabulary/%E4%B8%89
26,三人,THREE PEOPLE,"This is a jukugo (kanji compound) word, which usually means on'yomi readings from the kanji. Since 人 has two on'yomi readings, here's a mnemonic to help you remember which one to use:
Apparently, there are three people working as Santa-san at Nintendo (さんにん)! It's a big company, so obviously they need three Santas.",You have the kanji for three and person. Common sense will tell you what this word is. It's three people.,1,https://www.wanikani.com/vocabulary/%E4%B8%89%E4%BA%BA
27,三つ,THREE THINGS,"Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion).
What thing do you have three of? The three things that you have are actually three versions of yourself. ""Who is the real one?"" you ask yourself. ""It's me!"" ""Wait, no, it's me!"" Just remember that there are three of you, and they're all saying ""me me me me me"" to try and prove that they're the real you.","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for three plus つ. So, this one is three things.",1,https://www.wanikani.com/vocabulary/%E4%B8%89%E3%81%A4
28,入る,TO ENTER,"When a vocab is a single kanji with okurigana, chances are it's going to be the kun'yomi reading, which you don't usually learn in the kanji (you usually learn the on'yomi reading). So, let's learn the kun'yomi reading for this word using its meaning.
When you enter the room, what do you do? You say ""Hi"" (はい) to everyone to the point of absurdity. ""Hi there. Oh hi Frank. Oh hi there Susan. Oh hi there lamp.""","This vocab word has okurigana, which is the hiragana part that comes after the kanji. When a vocab's okurigana makes an ""う/oo"" sound (in this case, we have a る), it's often going to be a verb. So in this case, the kanji 入 is enter. The vocab 入る is to enter. We're just taking the kanji and using it in a verb!",1,https://www.wanikani.com/vocabulary/%E5%85%A5%E3%82%8B
29,上げる,TO LIFT SOMETHING,"Since this word has okurigana (hiragana attached to the kanji) you know that it's probably going to use the kun'yomi reading, which you didn't learn with the kanji. Here's a mnemonic to help you:
You want to lift something, and that something is aardvark (あ) above your head. Why? Because even though aardvarks have long tongues, they can't reach the ants in the trees. But when you raise this aardvark it can get at those yummy ants!","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means above and this verb is related to that meaning. It means to lift something or to raise something. It's a transitive verb, meaning that you do something to something else. You raise something. Like your hands!",1,https://www.wanikani.com/vocabulary/%E4%B8%8A%E3%81%92%E3%82%8B
30,下げる,TO LOWER SOMETHING,"Since this word has okurigana (hiragana attached to the kanji) you know that it's probably going to be the kun'yomi reading, which you didn't learn with the kanji. Here's a mnemonic to help you:
You want to lower something. In this case, it's a tree, so you need a saw (さ). Lower the tree to the ground gently while you slowly saw it down!","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means below so the verb version of that is when you put something below you. It's to lower something. It can also mean to hang something, such as a lamp from the ceiling.
This is a transitive verb, which means that the verb is done by one entity onto another. In other words, you lower something. Like your impossibly high expectations for yourself. Take it easy!",1,https://www.wanikani.com/vocabulary/%E4%B8%8B%E3%81%92%E3%82%8B
31,二,TWO,"When a vocab word is a single kanji with no okurigana, it usually uses the kun'yomi reading. Numbers are an exception to this. Numbers use the on'yomi reading, which you've already learned by learning the kanji's reading! How nice!",When a vocab word is a single kanji without okurigana (hiragana attached to the kanji) it usually has the same meaning as the kanji it's spawned from. If you know the kanji meaning you'll also know the vocab meaning. It's two!,1,https://www.wanikani.com/vocabulary/%E4%BA%8C
32,二人,TWO PEOPLE,"The reading for this word is quite strange. If you know 二つ's reading, you can use that to remember the 二 part (ふた). But, the り that is the 人 is a total exception, something you won't see too often (though you may have seen it in 一人). If you can use the reading of 一人 (aka if you've learned it already) then definitely use that. If not, do your best to remember the reading on your own. It's a strange one that doesn't connect to much else.","When you have two and person and then put them together, what do you get? You get a pair or two people.",1,https://www.wanikani.com/vocabulary/%E4%BA%8C%E4%BA%BA
33,二つ,TWO THINGS,"Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion).
So what thing do you have two of? The two things that you have consist of one foot and another foot (ふた). Remember from the on'yomi how you had two knees (for the reading に)? Now look further down your leg at one foot then over to the other foot. Two foot!","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for two plus つ. So, this one is two things.",1,https://www.wanikani.com/vocabulary/%E4%BA%8C%E3%81%A4
34,上,UP,"When a vocab word is a single kanji and doesn't have okurigana (hiragana attached to the kanji) it usually will use the kun'yomi. Since you learned the on'yomi reading of the kanji, we'll need to use a mnemonic to learn the reading of this vocabulary word.
Above you is a huge weight. You're holding it up and struggling (it's heavy!). You look up and try to crane your neck to see how much it weighs (うえ), but you can't see the numbers on the side of it. How long can you hold it above your head like this?","When a vocab word is a single kanji and alone, it tends to steal the meaning from the kanji. Same goes for this one too. It means above or up.",1,https://www.wanikani.com/vocabulary/%E4%B8%8A
35,力いっぱい,WITH ALL ONE'S STRENGTH,力 uses the same reading as you learned with the vocabulary. That's because this is basically two separate words stuck together.,"You've hopefully already learned that 力 means ""power"". You might have also heard the word いっぱい, because it's used a lot in conversation. It has a few meanings (you'll learn more of them later) but the important one here is ""full"" or ""a lot"". Put these two words together and you have full power, with all one’s strength, and as hard as one can. Remember this one with all your strength!
Just a side note: いっぱい can also be written in kanji, which you'll learn later on! However, in simple words like this one it's usually written in kana.",1,https://www.wanikani.com/vocabulary/%E5%8A%9B%E3%81%84%E3%81%A3%E3%81%B1%E3%81%84
36,女,WOMAN,"When a word is a single kanji with no okurigana (hiragana attached to the kanji) it tends to use a kun'yomi reading. You didn't learn the kun'yomi reading when you learned the kanji itself, so let's use a mnemonic to remember the vocab word.
There's a woman in front of you. Who is she? She's the woman who lives on Ninth (おんな) Street!","When a kanji is alone and doesn't have any okurigana (hiragana attached to the kanji) it's usually going to take the same meaning as the kanji it comes from. So in this case, you know that this word means woman.",1,https://www.wanikani.com/vocabulary/%E5%A5%B3
37,四月,APRIL,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.
Also, this is a specific month, so it uses the がつ reading.","月 in Japanese means ""moon"" but it also means ""month."" Why? Probably because the moon takes about a month to get through its cycles. So, what's the fourth moon of the year? Here's a hint, it's the same as the fourth month of the year: April.",2,https://www.wanikani.com/vocabulary/%E5%9B%9B%E6%9C%88
38,玉,BALL,This word uses the same reading as the one you learned when learning the kanji: たま.,"As an alone single kanji vocab, you know that this vocab word has the same meaning as its parent kanji: Ball.",2,https://www.wanikani.com/vocabulary/%E7%8E%89
39,本,BOOK,The reading for this word is the same as the single kanji it comes from.,"This vocab word is exactly the same as its parent kanji, including its meaning as well: book. It doesn't have those other meanings though, when it's just 本 alone, it's just a book.",2,https://www.wanikani.com/vocabulary/%E6%9C%AC
40,丸,CIRCLE,"The reading you learned for this kanji is the kun'yomi one. Since this vocab word is made up of a single kanji, it uses the kun'yomi reading. Guess what? That means you already know it!",This vocab word and the kanji that makes it have the same meaning: Circle.,2,https://www.wanikani.com/vocabulary/%E4%B8%B8
41,丸い,CIRCULAR,"This word uses the reading you learned for the kanji 丸, though you'll need to tack the い onto the end too.","With an い on the end, you can guess that this word is an い-adjective. What is the adjective version of the kanji 丸? ""Circle"" becomes circular, spherical or round. This, compared to another similar word (円), is more general purpose and can be used with 3D spherical objects as well.",2,https://www.wanikani.com/vocabulary/%E4%B8%B8%E3%81%84
42,正しい,CORRECT,"This word uses a reading you didn't learn from the kanji. You have to remember the ただ portion in order to read this word, so think about it this way:
After you get the answer correct a clown jumps out of nowhere yelling ""TA DA!!!"" Imagine it scaring the crap out of you, too.","Ending with an い tells you that this word is an い-adjective. So since you know that the kanji 正 means ""correct,"" what is the adjective version of that word? Well, it's also correct.",2,https://www.wanikani.com/vocabulary/%E6%AD%A3%E3%81%97%E3%81%84
43,犬,DOG,"Since this is a word made up of a single kanji and nothing else, you can assume that this word will use the kun'yomi reading. The reading you learned for this kanji happens to be the kun'yomi reading as well. So if you know the kanji you know the reading.",This vocab made up of a single kanji shares its meaning with said single kanji. That meaning is dog.,2,https://www.wanikani.com/vocabulary/%E7%8A%AC
44,八日,EIGHTH DAY,"Words that count days use an exceptional reading. Even though this is a jukugo word, it uses kun'yomi readings for both the kanji. Think about this word this way:
Every eighth day you have to buy yogurt to fuel your car (ようか). Your car runs on yogurt, but it needs to be refilled every eight days to keep running. It's really inconvenient because it's just ONE day more than a week. And a week just feels better. Oh well.","Eighth day or day eight. No matter how you look at this word, it makes a lot of sense.",2,https://www.wanikani.com/vocabulary/%E5%85%AB%E6%97%A5
45,夕べ,EVENING,"When hiragana is attached to a kanji, you can usually assume that that kanji is going to be read using the kun'yomi reading, which is exactly what's going on with this word as well. By learning this word's kanji you've also learned the reading for this word.","This vocab word has a weird little extra bit on it (the べ). You can sort of ignore that, it doesn't really mean anything in particular. The meaning of this vocab word and the kanji it comes from are the same: evening",2,https://www.wanikani.com/vocabulary/%E5%A4%95%E3%81%B9
46,出口,EXIT,"This is a jukugo word, which usually means on'yomi readings from the kanji. 出口 is an exception to this rule, however, and uses its kun'yomi readings. There's no particular reason why this is, but oftentimes a ""body part"" word (like mouth) changes a word to use kun'yomi readings instead of on'yomi ones. You already know the kun'yomi reading for 口 (くち) from learning the vocab, but to remember the reading for 出 you can think the following:
If I exit out this mouth, I'll end up in the ocean (you were swallowed by a whale) and I will surely end up dead (で).
Also keep in mind that because of rendaku, くち becomes ぐち.","The mouth you exit out of is just a doorway (I hope), but an easier way to describe this word or concept is to call it an exit.",2,https://www.wanikani.com/vocabulary/%E5%87%BA%E5%8F%A3
47,目,EYE,"The reading is the same as the one you learned for the kanji, meaning you should already know it!",The kanji and the word are exactly the same. That means they share meanings as well.,2,https://www.wanikani.com/vocabulary/%E7%9B%AE
48,目玉,EYEBALL,"This is a jukugo word, which usually means on'yomi readings from the kanji. 目玉, however, is an exception. Perhaps this is because it includes a body part (the eye) in it, which often makes a word switch to kun'yomi readings. Either way, it doesn't matter too much. Both the readings you learned for the kanji in this word are the kun'yomi, meaning you should know how to read this one. Just make sure you watch out for the rendaku.","What is an eye ball? Oh wait, that's easy. It's an eyeball!",2,https://www.wanikani.com/vocabulary/%E7%9B%AE%E7%8E%89
49,二月,FEBRUARY,"This is a jukugo word, which usually means on'yomi readings from the kanji. That is true with this word as well. Make sure to take note that 月 is using the がつ reading and not the げつ one. This is true for all ""month words"" in Japanese.","The kanji 月 means both month and moon (because moon cycles take about a month, presumably). So, what is the number two month? It's not January... it's not March... it's February!",2,https://www.wanikani.com/vocabulary/%E4%BA%8C%E6%9C%88
50,五日,FIFTH DAY,"Words that count days use an exceptional reading. Even though this is a jukugo word, it uses kun'yomi readings for both the kanji. Think about this word this way:
On the fifth day I have to eat (いつ) five cars (か). Now imagine yourself eating five cars. How did you manage to get past the first one? I'm impressed.","Day five or the fifth day. No matter how you look at this word, it makes a lot of sense.",2,https://www.wanikani.com/vocabulary/%E4%BA%94%E6%97%A5
51,五十,FIFTY,"This is a jukugo word, which usually means on'yomi readings from the kanji. That's the case for this word too, which means you should already know how to read this word.",What happens when you have ten five times? You get fifty!,2,https://www.wanikani.com/vocabulary/%E4%BA%94%E5%8D%81
52,火,FIRE,"Since this word is made up of a single kanji, it uses the kun'yomi reading. When learning the kanji, you didn't learn that reading, so here's a mnemonic to help you with this word:
What comes off of fire? Lots and lots of heat (ひ). Feel it coming off the fire, touching and warming your face.","This vocab is made from a single kanji, which means it shares the same meaning as the parent kanji: fire.",2,https://www.wanikani.com/vocabulary/%E7%81%AB
53,五,FIVE,"Since numbers are an exception, this word is read using the on'yomi reading even though it's made from a single kanji all alone. Luckily for you, you learned the reading for this word when you learned the parent kanji.","This vocab is made from a single kanji, which means it shares the same meaning as the parent kanji: Five.",2,https://www.wanikani.com/vocabulary/%E4%BA%94
54,五つ,FIVE THINGS,"The reading of this word is the kun'yomi reading of the kanji 五, meaning you didn't learn it when you learned the parent kanji reading. To remember this word, think of it this way:
You have five things. What do you have to do with them? You need to eat (いつ) them. If you come up with something crazy you have to eat, and focus on the fact that you must eat five of these things, it will help a lot too.","From previous number+つ words, you can probably guess that this word means five things.",2,https://www.wanikani.com/vocabulary/%E4%BA%94%E3%81%A4
55,四,FOUR,"When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it usually uses its kun'yomi reading. Numbers are an exception, though, and use the on'yomi reading. However, four and seven actually use both. We're going to go with the kun'yomi reading here, and since you haven't learned this reading yet, here's a mnemonic to help you:
You have to count to four. But you're tired. One... two... three... *YAWN* ... four. There, you did it. But *yawn* now you can't stop yawning. You're so, so sleepy. Four is too high a number to count without falling asleep.
By the way! Both the reading よん and し are pretty common, but because the on'yomi reading し sounds just like the word for ""death,"" it isn't used as much. Generally when you're just counting (for example, ""1, 2, 3, 4...""), you will use the reading し. But when you are counting things or people, you'll use よん. There are exceptions to this, but you'll learn them as they come up.","This vocab word has the same meaning as its parent kanji (single alone kanji usually do that!), meaning it means four.",2,https://www.wanikani.com/vocabulary/%E5%9B%9B
56,天才,GENIUS,"This is a jukugo word, which usually means on'yomi readings from the kanji. As long as you know the readings for these kanji, you should be able to read this word just fine.",A genius from heaven is still a genius.,2,https://www.wanikani.com/vocabulary/%E5%A4%A9%E6%89%8D
57,女子,GIRL,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.",A woman child is just a girl!,2,https://www.wanikani.com/vocabulary/%E5%A5%B3%E5%AD%90
