,Kanji,Meaning,Reading,Mnemonic,Level,URL
10,人,PERSON,"Only one person at Nintendo (にん) complained about the new jeans (じん) policy, and that person was you.
HINTS
Imagine how angry you were about the policy. You'll have to come up with something to be angry about yourself (pick something that would actually make you angry, like maybe you're only allowed to wear cut off short-shorts jeans at Nintendo now), but if you pick something good, you'll definitely remember the two readings for this. Just remember you're working at Nintendo, and the policy has to be something about jeans. Then, imagine yourself as the only person complaining and everyone else in their dumb jeans (or lack-thereof) shaking their head at you because you're being a fool.","Remember how the radical version of this kanji meant person because it's a person walking from the side with their arms down? Well this is a person too!
HINTS
Know the radicals, and you shall know the kanji.",1,https://www.wanikani.com/kanji/%E4%BA%BA
11,力,POWER,"Who has the most power of anyone? It's the Power Rangers. They are battling their arch enemy Ricky (りき). They defeat him and lock (りょく) him up, so that he can't hurt anyone ever again.
HINTS
Know anyone named Ricky (りき), even a famous person like Ricky Ricardo or Ricky Gervais? Imagine that person's face on the monster the Power Rangers are fighting. Now, imagine the Power Rangers locking (りょく) him up. He looks much less scary once he's locked up. Phew.","The radical and the meaning of this kanji are the same. Both are power.
HINTS
If you know the radicals, you should be feeling fine... No, you should feel powerful!",1,https://www.wanikani.com/kanji/%E5%8A%9B
12,川,RIVER,"You're standing next to a river that's actually used as a car wash (かわ).
HINTS
Imagine standing by the river, watching all those cars floating by. They start off really dirty, but the river washes them all clean.","The river radical and the river kanji are the same as each other!
HINTS
So, if you know the radical you know the kanji as well.",1,https://www.wanikani.com/kanji/%E5%B7%9D
13,七,SEVEN,"You know this kanji means Seven, so let's use that to remember the reading too. Seven is a lucky number, usually, but this time it wasn't so good.
Seven percent is all she got on her test after she cheated (しち) on it.
HINTS
How unbelievable is it that someone got seven percent on a test, especially if you try to cheat? Imagine the girl you loathe the most from school, and imagine her cheating on the test (it's important it's a girl, because of the ""she"" part in she cheated (しち). Then, imagine your happiness when she's super upset about getting seven percent on it. Serves her right, obviously.","Lucky for you (as is the case with many of the lower-stroke kanji), this kanji is the same as the radical you've already learned. The radical that makes up this kanji is seven and the kanji (which is exactly the same) is also seven. So, if you know the radical, you know the meaning of the kanji as well.
HINTS
Make sure you know your radicals well and you'll be A-Okay on this one!",1,https://www.wanikani.com/kanji/%E4%B8%83
14,十,TEN,"This cross in particular has ten jewels (じゅう) on it. Two on each arm and two in the middle. That's ten jewels!
HINTS
Picture the jewels on this cross. Maybe draw it out on a piece of paper so the visual really sticks. Each cross is really a symbol for different sets of ten things, and in this case, it's ten jewels.","This cross is the symbol for the number ten. A good way to remember this is to think about all the religions that have crosses and also important sets of tens.
HINTS
If you're familiar with Christianity, they have a cross and ten commandments. Cross = ten, you see?",1,https://www.wanikani.com/kanji/%E5%8D%81
15,三,THREE,"Three is the number of chances you get with Santa-san (さん). He has a list, and when you get to three ""naughty things"" lines, that's it. You're on Santa-san's three strikes and you're out list.
HINTS
Picture Santa-san sitting at his desk at the North Pole, eating cookies, and marking one, two, then finally three lines next to names. Once the third line appears, the kid doesn't get presents anymore.","This kanji is made up of the ground radical (which also happens to be the kanji for ""one"") and the radical for two. Combine one and two together and what do you get? Three!
HINTS
This one should be pretty self explanatory! Even easier, you can look at this kanji and see it has three straight lines. You know what one looks like. You know what two looks like. So... this is three!",1,https://www.wanikani.com/kanji/%E4%B8%89
16,二,TWO,"Think of all the things you have Two of. What is the most important? Some would say eyes, some would say ears. I would say the knee (に) because if you didn't have them, it'd be really hard to go up stairs.
HINTS
Imagine yourself without two knees, and see what it would be like. What would give you trouble? What couldn't you do? Just imagining this for a minute or two will help you to remember the reading of this kanji more effectively.","The kanji two and the radical two are the exact same things. Therefore, you know the kanji for two already!
HINTS
More simply put, you can just know that this kanji is the double of One. It's two lines, that's not all that hard to remember!",1,https://www.wanikani.com/kanji/%E4%BA%8C
17,女,WOMAN,"When you think of a woman, think of Jo-Anne (じょ), though she usually goes by just ""Jo.""
HINTS
Whenever the reading じょ comes up, we will use the character Jo-Anne. She's quite a short woman, which is to help us differentiate じょ from じょう (who is the giant, oafish farmhand Jourm). じょ is a smaller lady, じょう is a giant man.","The radical for woman and the kanji for woman are exactly the same.
HINTS
That means if you know your radicals well, you know the meaning of this kanji as well! How swell.",1,https://www.wanikani.com/kanji/%E5%A5%B3
18,玉,BALL,"Think of someone curled up in a ball. It is someone you know / someone famous named “Tom” (たま).
HINTS
So, who's in a ball? Which ""Tom"" did you choose?","The king has something in his hand that he's dropping... but it bounces too! He's bouncing a ball
HINTS
This kanji looks just like a king bouncing a ball, no? If not, imagine the kanji itself bouncing the drop (the ball) over and over again, then laying some hoops like a pro.",2,https://www.wanikani.com/kanji/%E7%8E%89
19,本,BOOK,"Books are one of the best ways to hone (ほん) your intellect, you know?
HINTS
Just think about books and how you use them to hone your skills. Or read a book about honing things. Like swords.","The kanji and the radical are the same, so remembering the meaning of this kanji is as simple as making sure you know the radical for book first! If you know the radical, you know this kanji means book as well.
Take note that the second, third, and fourth meanings of this kanji are origin, real, and main. You can figure this out by thinking about how books mainly have their origins in real life.
HINTS
Make sure you know those radicals, yo! And good luck with all the meanings (sorry sorry sorry).",2,https://www.wanikani.com/kanji/%E6%9C%AC
20,子,CHILD,"To remember the sounds し and す we'll use these mnemonics:
There is a child standing in front of you. You look closely at the child but something seems wrong. You rub your eyes and when you open them again there is a sheep (し) in a suit (す) in front of you. You yelp, blink, and it's back to being a child. Are... all children really just sheep in suits?!
HINTS
The child runs away and you chase after it. Every time it's about to turn a corner it looks like a sheep in a suit again, but whenever you yell and point, it turns back. You're the only one who can see this sheep suit child!!","The child radical and the child kanji are exactly the same.
HINTS
So, if you know your radicals, you know your kanji as well! This won't last forever (where radicals are exactly the same as the kanji) so enjoy it while the kanji are still small and simple!",2,https://www.wanikani.com/kanji/%E5%AD%90
21,丸,CIRCLE,"Do you know about the adorable cat Maru? If not, you should check it out. May seem like a distraction, but if you come back knowing the reading for this kanji, then it's totally worth while.
When you think about a circle, think about Maru all rolled up in a little circle, being super adorable. Don't tell me it doesn't melt your heart just thinking about it.
Alternatively, you could also look at this kanji and think of Maru inside of a box, with his little tail sticking out of it. Whatever works best for you, just get yourself to ""Maru.""
HINTS
Obviously if you ""don't know this reading"" well enough, you should watch some more Maru videos. I'll understand... just make sure you come back someday, okay?","What's something with nine sides? Just add a drop and you'll have something that's almost a circle.
HINTS
It's not quite a circle though. You just need to add a drop of liquid to the edges to smooth it out to become a full circle.",2,https://www.wanikani.com/kanji/%E4%B8%B8
22,正,CORRECT,"You did the correct thing, so the Shougun (しょう) shows up to reward you! He holds out a shiny new saber (せい) in his hand, gently taps it onto each of your shoulders, and then hands it to you. It's big, curved and you love it.
HINTS
Being correct got the Shougun to notice you AND a new saber. You better make sure to answer this kanji correctly in your reviews too, so you can keep being correct and have more nice things happen.","There is a line on the ground so you stop and a giant sign pops up that says CORRECT! You obeyed the rules of the road and did the correct thing.
HINTS
Imagine walking, staring at the ground until you come across a line that you're supposed to stop at. If you stop, the big ""correct"" sign appears, chiming a happy tune.",2,https://www.wanikani.com/kanji/%E6%AD%A3
23,土,DIRT,"Who spends a lot of time in dirt? Dogs (ど) do! Dogs dig in dirt, they roll in dirt, sometimes they try to eat dirt (which isn't so great).
HINTS
Dogs and dirt just go together!","The dirt radical and the dirt kanji are the same!
HINTS
As long as you know the radical dirt, you know the kanji dirt.",2,https://www.wanikani.com/kanji/%E5%9C%9F
24,犬,DOG,"You see an emu running towards you from off in the distance (strange to see an emu in these parts...). As it gets closer, you realize that it's not an emu at all, it's something that sounds the same, or similar... an inu!
HINTS
There's a good chance you know the word for dog in Japanese already too. If so, you're ahead of the game. If not, do your best to learn the reading before moving on.","The dog radical and dog kanji are exactly the same!
HINTS
Soon there will be very few kanji/radical-same combos ... so enjoy it while you can.",2,https://www.wanikani.com/kanji/%E7%8A%AC
25,夕,EVENING,"The evening is when all the youths (ゆう) come outside to play.
HINTS
Young people love staying up the entire evening doing youth-people things, and it's really obnoxious for us curmudgeonly folk.
Note: All the ゆう readings will use the word ""youths"" for the reading mnemonic. You can think of these ""youths"" as a group of younger people who cause a lot of the problems in this world, just like how people treat millennials nowadays.","The evening radical and the evening kanji are the same. If you know the radical you know the meaning of the kanji.
HINTS
Do what you're meant to do. Study those radicals!",2,https://www.wanikani.com/kanji/%E5%A4%95
26,出,EXIT,"As you're trying to exit this mountain range, you suddenly realize that someone is actually hunting you. What? Make sure to feel that sudden realization. It's crazy. Then, you find the exit and run towards it. Sadly, the hunter is waiting there, and he shoots you (しゅつ) through the leg, knocking you down.
HINTS
Focus on the surprise of realizing you're being hunted while trying to find the exit to the mountain range, then focus on the next part, where you get shot. View it in your head as the hunter shooting you. Powww!","There are two mountains in front of you... and probably a bunch more around you too. You are in a pass, and don't know how to get out. You are frantically looking for the exit before you freeze to death. The most important thing is to find the exit from this mountain range - your life depends on it.
HINTS
In your imagination, really feel like your life depends on getting out. The important part is the feeling of ""needing to get out of the mountain pass."" If you have this feeling, you'll be more likely to remember that this kanji means exit, because that's what you want to do when you see this kanji.",2,https://www.wanikani.com/kanji/%E5%87%BA
27,目,EYE,"Your eyes are important to you, right? Sadly, one of your eyes is missing right now, because a sheep grabbed it and pulled it out, and is now running away from you, yelling his sheep call.... ""Mehhhhhh (め)!""
HINTS
Of course, feel the pain of your eye being gone... and struggle to get it back. You eventually give up because the sheep is too fast, but then you come up with an idea. What if I call out back to the sheep in its own language? Go ahead and cover one eye and start making ""MEHHH"" noises to see if you can get the sheep to come back to you and give you your eye. It's up to you whether it works or not, but be sure to feel frustrated by its reaction, or happy by it. Either one works.","The eye radical and eye kanji are the same as each other, so now you know them both.
HINTS
Well... you'll know them both as long as you studied your radicals, young grasshopper. If you didn't, then you're just a young grasshopper who needs to study their radicals.",2,https://www.wanikani.com/kanji/%E7%9B%AE
28,了,FINISH,"How does the fish lure maker test his newly finished lure out? The one he just finished? He gets in a row (りょう) boat and rows out into the sea.
HINTS
Make him think that he can’t just use his new lure on the side of the lake / ocean / whatever. He has to get out there, but unfortunately all he has is a crappy row boat. Imagine the row boat being terrible, leaky, and dangerous, which is why you’re surprised when he goes for it. That’s a terrible row boat to use! If you do this, you'll focus your mind on the rowboat part of things, which will help you to remember the reading of this kanji.","Think about it this way. There is a famous fishing lure inventor, working on his best work ever. He’s old, and he’s been trying to make the best fishing lure for the last 50 years, and knows this will be his last invention. Then he figures it out. He takes one barb, and connects the end of it to the top of another barb. When he does this, he knows his work is finally finished.
HINTS
Make sure you look at this amazing fishing lure too - hold it in your hand, see the two barbs fused together. Think about how strange this lure is. Is this really the best in the world? Will this really finish all other fishing lures?",2,https://www.wanikani.com/kanji/%E4%BA%86
29,火,FIRE,"Whenever we need to remember か, we use the word car.
For this kanji, when we think fire, we ought to think of something on fire. What's on fire? It's obviously your very own car (か)! Oh Goddd NOOO!
HINTS
Oh no... Oh no!! If you don't have a car, imagine what it'd feel like if your car just exploded and burned down. If you do have a car, imagine your own car in this situation. It should be a terrible feeling, if you imagine it well enough. So, when you think fire, remember the fear you had when your car was given to the flames. Now you have to walk everywhere, sad :(","The fire radical and the fire kanji are the same as each other.
HINTS
If you know the radicals then this one is EZPZ.",2,https://www.wanikani.com/kanji/%E7%81%AB
30,五,FIVE,"Five is the number of buildings Godzilla (ご) will knock down. Oh, look! There he goes now.
HINTS
One, two, three, four, five—GODZILLA IS HERE GO GO, RUN!","The five radical and the five kanji are the same.
HINTS
Know your radicals, friend-o.",2,https://www.wanikani.com/kanji/%E4%BA%94
31,四,FOUR,"This amazing feat, which turned you into a four sided square, has you looking like a four sided animal: the sheep (し). Look at yourself in the mirror and see an adorable four-sided sheep looking back at you. (You can't see the other sides because mirrors aren't 3D and whatnot. So you're a bit cartoonish.)
HINTS
What's better than one four sided sheep?","Imagine contorting yourself in such a way that your legs end up inside your mouth. You have bent your body in all the wrong ways in order to achieve this. In fact, if you look at yourself, you look like a square now... You're just a person with four sides.
HINTS
If you can get to square, you should be able to get to four as well, since squares always have four sides.",2,https://www.wanikani.com/kanji/%E5%9B%9B
32,才,GENIUS,"You check your genius trap, and there's a genius stuck in the barbs! You know it's a genius because they're actually a cyborg (さい).
HINTS
Cyborgs have brain implants, so they're definitely all geniuses.","On the ground you put barbs at the bottom of a slide because you're a genius trying to catch another genius.
HINTS
Imagine yourself placing the barbs in front of the slide, thinking about how your genius plan will surely catch another genius.",2,https://www.wanikani.com/kanji/%E6%89%8D
33,手,HAND,"To remember the reading て we will use the word ""Television."" You have great hands. Go ahead and look at them. OH MY GOD. You have little televisions (て) on your hands. They are playing the dumbest show you can think of, too, both hands at the same time.
HINTS
You try to shake your hands off, but it's no good. The televisions are stuck, and the volume won't go down. You have no idea how you got these televisions on your hands. All you know is that you want them off right this instant.","The hand radical and the hand kanji are identical in looks and meaning! That should make things easy!
HINTS
Make sure you're studying your radicals. It won't be forever that radicals and kanji overlap so nicely like this!",2,https://www.wanikani.com/kanji/%E6%89%8B
34,天,HEAVEN,"Heaven... nowadays, people aren't all that good. Things have gotten bad. That's why the acceptance rate to get into heaven is only ten (てん) percent!
HINTS
Imagine yourself in line to get into heaven. You're super worried, because you're not sure if you'll get in. You heard there was a one in ten chance... those aren't good odds. Feel nervous in your imagination. Feel worried. Feel the pressure as you get closer and closer to the gate... will you make it?? Ten percent!","The radical heaven is the same as the kanji heaven, making this an easy kanji to memorize.
HINTS
If you know your radicals well (and you should!) you know the meaning of this kanji well, as well!",2,https://www.wanikani.com/kanji/%E5%A4%A9
35,王,KING,"When you see the king you need to say, ""Oh (おう) King! Oh King, oh no, oh why are you looking at me like that? Oh King... you aren't going to chop off my head are you? OH NO!""
HINTS
You need to be polite when you talk to the king and add ""Oh"" to the beginning, otherwise the king will be pretty angry and bad things might happen.
We're going to use the 王 kanji for all おう mnemonics from now on. So make sure you always remember to say おう King!","The king radical and the king kanji are the same!
HINTS
Hopefully you're a king of radicals... because if you are, this kanji was super easy for you!",2,https://www.wanikani.com/kanji/%E7%8E%8B
36,左,LEFT,"In their left hands, the narwhals all hold saws (さ). That's because the ice for their homes is already there, so they just need to saw away at them to make the shapes they want. Narwhal construction is actually very simple.
HINTS
If you're right-handed, imagine trying to use these left-handed saws. It flips and flops all over until you drop it. But if you're left-handed it feels just right!","Narwhals do construction with their left hands (or flippers, I guess). That's because all narwhals are left-handed!
HINTS
Picture a bunch of narwhals constructing an underwater ice village. They're all working away with their left hands.",2,https://www.wanikani.com/kanji/%E5%B7%A6
37,中,MIDDLE,"To remember the reading for this kanji, we use the word Chewbacca to pull up ちゅう in our memory.
If you remember back to the radical 中, the middle of your mouth was stabbed with a stick. You look up to see who did it. There stands Chewbacca, doing his Chewbacca yell. And it isn't a stick in your mouth, it's an arrow from his crossbow (a bowcaster, actually). It just so happens Chewbacca's bowcaster looks just like this kanji too. Go figure.
HINTS
Imagine the fear and shock you'd feel after finding out it was Chewbacca who shot the middle of your mouth (and head). Touch his fur. Look really close at his weapon. Give him a sniff, too. Just so that memory never fades away.","The radical Middle and the kanji Middle are both the same. So if you know one, you know the other.
HINTS
Make sure you're studying your radicals, otherwise you might find yourself in the middle of a kanji-learning problem.",2,https://www.wanikani.com/kanji/%E4%B8%AD
38,月,MOON,"Since げつ and がつ are quite similar, we'll use one mnemonic to cover both of them. I expect your experience learning Japanese throughout the future will help you to memorize and differentiate between the two. When the moon goes down and goes away, everyone in the world gets (げつ) up, because that means it's going to be daytime soon!
HINTS
This one might not be as memorable at first, but if you think of the moon, and think about what people do when the moon is up, you'll come to sleeping. Then naturally you can think about what happens when the moon goes down... people gets up!","The moon kanji is made up of the moon radical.
HINTS
This should be EZPZ as long as you know the radicals already!",2,https://www.wanikani.com/kanji/%E6%9C%88
39,々,REPEATER,"In Japanese, this symbol is often called the のま because it looks like the katakana characters ノ and マ put together. If you know katakana then this will be easy to read. If you don't, think of it this way:
Your mom is the repeater. She is trying to force feed you over and over again until you explode (literally). You keep yelling ""No ma!"" (のま) but she doesn't stop. She's on a repeating track, never stopping, repeating forever.
HINTS
If you feel like you're so full you're about to burst, and if you imagine your mom doing this to you (how could you, ma?), you should be able to remember the reading of this kanji. That being said, the reading is mostly only useful in the event that you have to identify a 々—otherwise, you won't see it much.","This is a strange kanji because it doesn't really mean anything at all. In fact, what it does is it repeats the kanji that comes before it. For example: 人々 is actually 人人. This kanji shows up whenever there's a repeating kanji, because it's often easier to write than writing a more complicated kanji twice. That's why this kanji is the repeater. It repeats what comes before it.
To remember that this kanji is the repeater, though, think of a drop of water dripping into a prison. Drip drop drip drop. It does that over and over again, driving the prisoners nuts. But it never stops. It just repeats over and over.
HINTS
Since this kanji doesn't really have a meaning as much as it does a function, try to change the way you think about it when you're memorizing it.",2,https://www.wanikani.com/kanji/%E3%80%85
40,田,RICE PADDY,"To remember the reading た, we use the word ""taco.""
You're in the rice field... but when you lean down to examine the rice more closely, you see that it's not rice that's growing, it's a bunch of little tacos (た), blossoming out of the ground.
HINTS
Smell the tacos. Touch the tacos. Taste the tacos. This is definitely a very strange rice field.","The rice paddy radical and the rice paddy kanji are the same, making this one super easy to remember, at least meaning-wise.
HINTS
Just know your radicals, and you will know your kanji as well.",2,https://www.wanikani.com/kanji/%E7%94%B0
41,右,RIGHT,"How did we know to look from the right, though? Because of the youths (ゆう). Youths think in ways that older people usually don't. That's why they can see the swirls on cereal, hear the music behind noise, and of course, look at things from the right side.
HINTS
Imagine a bunch of youths walking in a group and looking at everything from the right. You remember when you were a youth and you used to look at everything from one side too.
Note: All the ゆう readings will use the word ""youths"" for the reading mnemonic. You can think of these ""youths"" as a group of younger people who cause a lot of the problems in this world, just like how people treat Millennials nowadays.","Narwhal mouths are on the right side of their head. In fact, some people didn't think they had mouths at all because they weren't looking from the right. Rookie mistake.
HINTS
Imagine looking at a narwhal from the front. No mouth. Now look at it from the right. Mouth!",2,https://www.wanikani.com/kanji/%E5%8F%B3
42,六,SIX,"Whenever we need to remember the reading ろく we just use the word rock.
So, think about the devil and the devil's number. What is often associated with those things? Why, rock (ろく) and roll is. Imagine the lid-head fin-legged beast suddenly blasting out rock music in the middle of his destructive mayhem.
HINTS
Sing along with the monster, if it helps you to remember the reading of this kanji.","Just imagine a beast with a lid for a head and fins for feet, running around looking as insane as possible (really imagine it!). When it runs up to you, it shows you the top of its lid-head. On it is written the numbers 666. Why? Because it's a spawn of the devil, and the number six is the devil's number.
HINTS
Imagine this beast doing various crazy things, the crazier the better (to help you remember). Make sure all these things are associated with the devil and the devil's number (six), so you can remember the meaning of this kanji.",2,https://www.wanikani.com/kanji/%E5%85%AD
43,小,SMALL,"This small kanji would be the perfect gift to give to the Shougun (しょう). The Shougun loves little things, and the little kanji represents all of that.
HINTS
You read that right, shougun is written with a long う sound. Make sure you spell it right from now on!","The small radical and the small kanji are exactly the same.
HINTS
Knowing radicals sure is nice, huh?",2,https://www.wanikani.com/kanji/%E5%B0%8F
44,立,STAND,"Think of someone who has to stand up straight for you. These people are pros in hospitality. These are the doormen at the Ritz (りつ).
HINTS
Imagine the doormen being extra straight… too straight in their standing. On their uniform is “The Ritz” written in fine lettering, and as you walk past them, they stand up straight and say “Welcome to the Ritz!” Whatever you do, while you’re thinking about it, make sure you think about how they stand up so straight, and associate it with these doormen, who work, specifically, at the Ritz. If you effectively imagine all this, you should be able to remember this on’yomi. Go through it like it’s a movie in your head!","The radical stand and the kanji stand are the same thing, so now you know them both.
HINTS
If you're keeping up with your radical studies, you're also keeping up with your kanji studies!",2,https://www.wanikani.com/kanji/%E7%AB%8B
45,丁,STREET,"So you're walking down this street, and off in the distance you see the silhouette of somebody. A lady. Big, black curly hair and red eyes. It is the street-woman, Mrs. Chou (ちょう).
HINTS
Mrs. Chou is a character you'll see a lot throughout WaniKani, anytime the reading is ちょう like this one. A lore will develop around her, so the more vividly you can imagine your Mrs. Chou right now, the easier things will get later. In general, she's a mean, evil woman, so as long as you imagine her within those parameters, you're good. And, when I say she is a ""street-woman"" in the mnemonic, I don't mean she is homeless. She has a nice, middle-class home that's not outside of her financial means. What I'm saying is she wanders the streets looking for evil things to do. These are HER streets. So whenever you see the street radical, know that Mrs. Chou is probably going to show up!","The kanji and the radical that look like this are exactly the same. They are both street.
HINTS
As long as you know the radical street, you know the kanji street.",2,https://www.wanikani.com/kanji/%E4%B8%81
